    L1_0004        IKLup  0  0  0   6.439   0.052  154.6    2.9    2.5  3.610  0.018  0.022  -0.06  0.20  0.18  -0.14  0.08  0.13      0  6.11  0.40  0.36     0  -10.26  0.54  0.45    1   -9.44  -1.089  0.042  0.050  1.394  0.022  0.019  0      0   23.2    5.4    4.3   24.5    6.7    4.2   23.6    4.5    3.8   25.4    5.4    4.2  -4.42  0.16  0.10  -4.44  0.15  0.13  -4.43  0.15  0.08  -4.46  0.14  0.10  2.77  0.06  0.07  
    L1_0005         Sz66  0  0  0   6.356   0.085  156.3    3.7    2.7  3.534  0.010  0.011  -0.66  0.20  0.21  -0.51  0.06  0.09      0  6.23  0.33  0.35     0   -8.52  0.34  0.32    0       0  -1.689  0.071  0.060  1.094  0.219  0.104  0      0   27.5   11.5    5.4   32.8   22.9    5.9   31.4   11.0    6.1   36.3   24.6    6.0  -5.14  0.20  0.15  -5.25  0.18  0.21  -5.19  0.18  0.15  -5.31  0.17  0.19  2.32  0.06  0.07  
    L1_0013    J15450634  0  0  9   6.462   0.057  154.1    2.9    2.6      0      0      0      0     0     0      0     0     0      0     0     0     0     0       0     0     0    0       0  -1.731  0.044  0.053  0.885  0.066  0.240  0      0      0      0      0      0      0      0   27.3   16.1    4.1   28.4   25.6    3.5      0     0     0      0     0     0  -5.18  0.16  0.21  -5.21  0.14  0.29  1.94  0.04  0.08  
    L1_0014    J15450887  0  0  0   6.453   0.201  153.9    6.3    4.5  3.486  0.010  0.011  -1.20  0.21  0.23  -0.90  0.10  0.05      0  6.33  0.28  0.57     0   -8.34  0.33  0.34    0       0  -1.232  0.049  0.057  1.215  0.031  0.024  0      0   14.0    3.8    2.5   14.8    4.9    2.5   20.7    4.1    3.5   21.6    5.7    3.5  -4.24  0.20  0.13  -4.29  0.21  0.14  -4.48  0.15  0.11  -4.52  0.15  0.13  2.23  0.06  0.08  
    L1_0016        HWLup  0  0  0   6.471   0.082  153.9    3.3    2.9  3.505  0.010  0.011  -1.03  0.20  0.20  -0.73  0.08  0.10      0  6.38  0.30  0.40     0   -9.45  0.34  0.33    0       0  -1.682  0.042  0.056  0.974  0.052  0.128  0      0   22.1   11.7    3.6   22.9   21.4    2.9   26.6   13.3    3.8   27.5   25.0    3.1  -5.00  0.17  0.21  -5.05  0.16  0.30  -5.11  0.15  0.19  -5.13  0.12  0.31  2.09  0.05  0.07  
    L3_1001        GWLup  0  0  0   6.415   0.055  155.3    2.9    2.7  3.560  0.019  0.021  -0.48  0.20  0.21  -0.34  0.10  0.17      0  6.27  0.43  0.40     0   -8.99  0.31  0.39    0       0  -0.632  0.040  0.052  1.832  0.009  0.010  0      0   11.9    3.0    2.2   15.1    3.7    2.6   13.5    2.4    2.4   17.2    2.8    3.1  -3.52  0.23  0.13  -3.70  0.19  0.11  -3.60  0.19  0.10  -3.76  0.16  0.09  2.50  0.04  0.07  
    L3_1002        HMLup  0  0  0   6.415   0.046  155.0    3.0    2.3  3.552  0.020  0.021  -0.56  0.19  0.21  -0.38  0.10  0.19      0  6.28  0.46  0.40     0   -8.63  0.36  0.33    0       0  -1.743  0.050  0.055  0.999  0.078  0.097  0      0   28.9   12.9    5.2   29.9   24.4    4.2   32.5   13.2    5.3   33.5   26.6    4.2  -5.21  0.17  0.17  -5.26  0.16  0.25  -5.27  0.14  0.15  -5.31  0.13  0.25  2.43  0.04  0.06  
    L3_1003         Sz73  0  0  0   6.378   0.054  156.1    3.0    2.6  3.610  0.019  0.022  -0.34  0.20  0.21  -0.09  0.04  0.14      0  6.61  0.31  0.45     0   -8.10  0.35  0.32    0       0  -1.381  0.041  0.054  1.459  0.033  0.033  0      0   24.6    7.0    4.7   40.3   12.2    8.0   38.4    8.2    6.6   62.2   13.8   12.7  -4.76  0.18  0.11  -5.03  0.16  0.11  -4.99  0.13  0.09  -5.23  0.14  0.09  3.15  0.05  0.05  
      gqlup        GQLup  0  0  0   6.587   0.047  151.2    2.7    2.4  3.624  0.019  0.020   0.16  0.19  0.18  -0.11  0.09  0.13      0  5.89  0.39  0.33     0   -7.62  0.35  0.33    0       0  -1.051  0.042  0.049  1.266  0.007  0.007  0      0   31.3    7.0    5.8   35.1    7.8    6.4   31.7    5.8    5.1   35.7    6.3    5.9  -4.55  0.14  0.10  -4.62  0.14  0.09  -4.57  0.14  0.07  -4.63  0.13  0.07  2.99  0.03  0.06  
      imlup        IMLup  0  0  0   6.311   0.054  157.8    3.0    2.7  3.640  0.018  0.022   0.41  0.19  0.19  -0.05  0.09  0.13      0  5.72  0.36  0.37     0   -7.92  0.32  0.36    0       0  -0.131  0.042  0.051  2.248  0.011  0.010  0      0   12.8    3.6    2.3   20.4    5.1    3.4   11.6    2.2    2.2   18.5    3.2    3.2  -3.12  0.23  0.12  -3.42  0.17  0.10  -3.01  0.22  0.10  -3.33  0.15  0.09  2.99  0.06  0.07  
    L3_1005        RULup  0  0  0   6.267   0.067  159.0    3.1    3.1  3.610  0.018  0.022   0.16  0.21  0.20  -0.20  0.12  0.11      0  5.72  0.42  0.39     0   -7.06  0.34  0.34    0       0  -0.246  0.040  0.054  1.632  0.010  0.007  0      0   21.6    5.5    3.8   27.2    6.8    4.6   31.7    5.8    5.2   39.5    7.1    6.3  -3.53  0.15  0.12  -3.66  0.14  0.12  -3.75  0.13  0.08  -3.87  0.13  0.07  3.58  0.05  0.05  
    L3_1006         Sz84  0  1  0   6.551   0.102  152.3    3.2    3.4  3.495  0.010  0.011  -0.91  0.21  0.19  -0.81  0.07  0.09      0  6.14  0.14  0.73     0   -9.19  0.33  0.33    0       0  -1.399  0.041  0.055  1.549  0.016  0.017  0      0   11.3    2.6    2.1   11.9    2.8    2.1    7.6    2.8    0.0    9.2    1.8    1.2  -4.24  0.22  0.13  -4.28  0.21  0.13  -4.02  0.18  0.12  -4.08  0.20  0.11  1.47  0.05  0.08  
    L3_1014        Sz129  0  0  0   6.185   0.050  161.0    3.1    2.8  3.610  0.018  0.022  -0.36  0.18  0.19  -0.08  0.03  0.15      0  6.59  0.36  0.37     0   -8.29  0.35  0.31    0       0  -0.617  0.037  0.056  1.681  0.009  0.007  0      0   14.2    3.6    2.4   16.7    4.1    2.7   16.6    3.0    2.9   19.2    3.5    3.1  -3.64  0.19  0.13  -3.75  0.17  0.11  -3.73  0.17  0.09  -3.83  0.15  0.09  2.64  0.06  0.07  
    L3_1015        RYLup  0  1  0   6.285   0.070  158.3    3.4    2.7  3.692  0.017  0.023   0.28  0.18  0.20   0.14  0.05  0.08      0  6.36  0.33  0.30     0   -8.10  0.31  0.34    0       0  -0.440  0.043  0.051  1.979  0.010  0.007  0      0   12.9    3.0    2.2   13.2    3.1    2.3   17.5    3.0    2.9   17.8    3.1    3.0  -3.39  0.21  0.11  -3.41  0.20  0.12  -3.58  0.15  0.09  -3.59  0.15  0.10  3.57  0.04  0.06  
    L4_0144    J16000060  0  0  0   6.203   0.075  160.4    3.6    2.9  3.506  0.010  0.011  -1.00  0.20  0.21  -0.74  0.10  0.08      0  6.34  0.28  0.47     0   -9.66  0.30  0.37    0       0  -2.290  0.071  0.077  1.398  0.084  0.180  0      0   12.9    5.8    2.3   13.6    7.8    2.2    9.7    4.0    1.4   10.5    5.5    1.5  -5.25  0.24  0.24  -5.28  0.22  0.29  -5.02  0.24  0.26  -5.08  0.23  0.30  1.35  0.05  0.08  
